"Specimen.ID","born","died","treatment","diet","weight","lifespan"
"#26257",248,1459,"control","control",11.30376701,1211
"#95075",266,1516,"treated","control",12.20817065,1250
"#82030",269,1555,"control","control",18.33097823,1286
"#82413",271,1536,"control","control",16.4458012,1265
"#36523",272,1485,"treated","control",17.60019597,1213
"#98441",274,1483,"control","control",19.6850292,1209
"#41788",278,1565,"control","treated",16.68367462,1287
"#69467",285,1550,"control","control",19.1243963,1265
"#72367",285,1563,"treated","treated",17.69841487,1278
"#25737",289,1566,"treated","control",16.38296219,1277
"#32605",318,1559,"control","control",18.5313045,1241
"#98647",322,1582,"treated","treated",19.54005206,1260
"#14942",322,1574,"treated","control",19.41408582,1252
"#87498",324,1586,"treated","control",11.42287804,1262
"#23162",326,1579,"treated","treated",10.61775261,1253
"#21039",329,1576,"control","control",13.93428108,1247
"#99345",331,1569,"control","control",12.96875056,1238
"#50505",337,1552,"control","control",12.21342392,1215
"#40826",339,1580,"treated","control",18.91682574,1241
"#19381",344,1593,"control","treated",17.5746016,1249
"#68927",346,1586,"control","treated",11.86316086,1240
"#87279",350,1622,"control","control",19.54949946,1272
"#81157",354,1616,"control","treated",19.03056912,1262
"#87291",365,1652,"control","treated",14.81941399,1287
"#8422",371,1586,"control","treated",18.01890145,1215
"#2940",380,1588,"treated","treated",11.17277089,1208
"#14055",384,1586,"treated","control",12.23678681,1202
"#50477",384,1603,"treated","control",15.4940999,1219
"#58140",393,1625,"control","control",16.34415706,1232
"#8010",405,1667,"treated","control",14.45590638,1262
"#9779",410,1650,"control","treated",11.47956919,1240
"#9034",415,1692,"treated","treated",13.16525173,1277
"#83507",416,1681,"control","treated",12.73622996,1265
"#88312",417,1630,"control","treated",11.70290156,1213
"#79855",418,1685,"treated","control",11.46875361,1267
"#45937",420,1684,"treated","control",14.20103266,1264
"#2761",420,1629,"treated","control",10.09580306,1209
"#93346",421,1690,"control","treated",12.56886213,1269
"#77601",429,1659,"treated","control",14.45389264,1230
"#3400",430,1691,"control","control",13.29504106,1261
"#82146",431,1718,"treated","treated",11.87038334,1287
"#42297",431,1676,"treated","control",15.79377603,1245
"#75112",435,1671,"treated","treated",12.22858678,1236
"#80654",441,1726,"control","control",10.48845766,1285
"#38180",446,1743,"control","control",12.15116894,1297
"#61424",453,1709,"control","control",15.07957858,1256
"#37298",464,1669,"control","treated",16.8728025,1205
"#32289",472,1721,"control","control",12.87697569,1249
"#48734",473,1683,"treated","control",15.90620445,1210
"#51518",474,1713,"control","control",11.25364884,1239
"#14528",474,1720,"treated","treated",13.90410057,1246
"#74755",479,1774,"control","treated",15.83722943,1295
"#12320",483,1762,"treated","control",12.23019042,1279
"#16905",488,1750,"treated","control",13.9786724,1262
"#78472",490,1779,"treated","control",16.02882196,1289
"#57398",497,1757,"control","control",15.35230191,1260
"#15391",501,1722,"control","control",19.96106547,1221
"#86087",521,1742,"treated","treated",16.01014626,1221
"#2189",536,1805,"treated","control",16.93775889,1269
"#45603",547,1790,"treated","treated",18.41075997,1243
"#65378",547,1754,"control","treated",18.65008391,1207
"#29163",550,1837,"treated","control",11.12009775,1287
"#82039",557,1854,"treated","control",11.61511906,1297
"#81745",559,1813,"treated","treated",13.87309557,1254
"#71623",560,1819,"treated","treated",19.64443146,1259
"#80657",561,1766,"treated","treated",19.81663997,1205
"#94572",562,1770,"control","treated",18.25996177,1208
"#44166",567,1771,"treated","treated",14.40999638,1204
"#47757",578,1862,"control","treated",16.26271452,1284
"#96836",579,1863,"control","control",13.81988595,1284
"#72178",581,1845,"treated","treated",14.27624998,1264
"#92211",589,1842,"control","control",15.63988423,1253
"#27594",591,1877,"control","treated",17.27265848,1286
"#58178",593,1871,"control","control",13.328772,1278
"#27628",601,1824,"treated","treated",14.46458292,1223
"#1584",603,1866,"treated","treated",11.12003276,1263
"#68674",617,1852,"treated","treated",15.781441,1235
"#35974",624,1854,"treated","treated",10.02816766,1230
"#99966",627,1853,"treated","control",14.67302655,1226
"#10475",636,1836,"treated","control",16.02058746,1200
"#40357",636,1838,"control","treated",18.41848918,1202
"#77965",638,1888,"control","control",16.14663208,1250
"#76438",642,1881,"treated","control",17.29946816,1239
"#3321",645,1858,"control","treated",19.4984487,1213
"#56190",646,1878,"treated","treated",14.02366593,1232
"#66316",646,1891,"control","treated",11.96534291,1245
"#65081",651,1944,"treated","control",19.19530267,1293
"#25405",653,1889,"treated","control",12.2590904,1236
"#41499",655,1857,"control","control",12.38252676,1202
"#48394",655,1943,"treated","treated",18.83923532,1288
"#77434",658,1875,"treated","treated",12.2406131,1217
"#82689",661,1885,"treated","control",16.41525136,1224
"#51967",665,1925,"control","control",18.2892727,1260
"#77144",673,1903,"treated","control",14.11597414,1230
"#26954",673,1951,"control","control",11.75992853,1278
"#47260",675,1898,"treated","treated",13.69605587,1223
"#36107",696,1977,"treated","treated",16.86844854,1281
"#60110",700,1945,"treated","control",13.57751619,1245
"#31625",700,1902,"control","treated",13.02681063,1202
"#77187",702,1932,"control","treated",11.28317018,1230
"#54543",703,1919,"treated","control",11.91976558,1216
"#55096",703,1961,"control","control",16.48060289,1258
"#59281",717,1986,"treated","treated",12.75837843,1269
"#33622",719,1986,"control","treated",13.35906216,1267
"#36005",720,1984,"control","treated",12.40002252,1264
"#97348",720,1959,"treated","treated",10.27172381,1239
"#34372",723,1942,"treated","treated",18.44461688,1219
"#94679",725,2021,"control","control",12.88312525,1296
"#71520",731,1979,"control","control",19.51137517,1248
"#88168",731,2025,"treated","control",16.90098917,1294
"#33535",732,1985,"control","control",17.93322279,1253
"#43412",738,1975,"treated","control",11.33158987,1237
"#78457",743,2004,"treated","control",12.52819486,1261
"#13859",749,2048,"control","treated",10.60062015,1299
"#36231",751,1978,"control","control",12.10499915,1227
"#61763",756,2026,"control","treated",16.63555126,1270
"#30923",758,2054,"control","treated",12.64753996,1296
"#13068",759,1964,"control","control",15.11992395,1205
"#49459",762,2018,"control","treated",10.69767941,1256
"#7887",765,1994,"treated","control",18.62844565,1229
"#87374",780,2020,"treated","treated",11.55279806,1240
"#12079",781,2065,"control","control",18.63804097,1284
"#72102",783,2055,"treated","treated",10.36166758,1272
"#50342",783,2060,"control","control",18.96776445,1277
"#53294",783,2043,"treated","control",13.13724712,1260
"#49469",801,2026,"control","treated",11.85120165,1225
"#74525",807,2050,"control","treated",11.58489712,1243
"#12847",808,2064,"treated","control",13.5655077,1256
"#79891",816,2071,"treated","control",14.61161862,1255
"#9967",822,2063,"treated","control",12.86699168,1241
"#56949",828,2067,"control","treated",18.44926439,1239
"#32168",830,2070,"treated","treated",19.26622852,1240
"#26292",831,2103,"control","control",10.99517179,1272
"#24957",832,2071,"treated","control",12.77687069,1239
"#27057",833,2079,"treated","treated",16.12964819,1246
"#32869",840,2105,"control","treated",18.10834815,1265
"#9951",841,2083,"control","treated",11.21293082,1242
"#11809",848,2049,"control","treated",18.22927528,1201
"#13460",851,2100,"treated","treated",15.312445,1249
"#93794",851,2089,"treated","treated",18.66299249,1238
"#32246",852,2124,"treated","treated",17.4942062,1272
"#40542",854,2141,"treated","treated",11.28798241,1287
"#16568",854,2116,"control","control",11.75969588,1262
"#51807",856,2142,"control","control",10.4556408,1286
"#62046",858,2064,"treated","treated",14.1197182,1206
"#76335",860,2158,"control","treated",13.04886645,1298
"#54601",863,2104,"treated","treated",17.46022367,1241
"#59622",881,2104,"treated","treated",14.52963325,1223
"#9219",881,2177,"control","control",16.86216065,1296
"#86495",886,2130,"control","treated",13.55703571,1244
"#34913",903,2170,"treated","control",18.77508084,1267
"#69775",911,2130,"treated","control",15.10760915,1219
"#83822",915,2155,"treated","treated",12.44009617,1240
"#47524",935,2211,"treated","treated",14.47471203,1276
"#17538",938,2233,"treated","control",13.71652508,1295
"#72229",943,2160,"treated","control",12.42247341,1217
"#35695",947,2216,"control","treated",18.29604509,1269
"#47420",950,2165,"treated","control",16.31141676,1215
"#94458",958,2218,"control","treated",10.86499655,1260
"#5834",964,2200,"treated","treated",19.87724294,1236
"#83513",970,2197,"control","treated",15.67339774,1227
"#32152",981,2204,"treated","treated",18.05922104,1223
"#70019",990,2191,"treated","control",11.37563889,1201
"#88422",991,2214,"control","treated",10.56014982,1223
"#41190",997,2206,"treated","treated",14.90619307,1209
"#13069",1001,2259,"treated","control",16.38074284,1258
"#4002",1003,2278,"treated","control",14.97511561,1275
"#25596",1009,2289,"control","control",13.9226393,1280
"#13842",1014,2218,"control","treated",16.59643323,1204
"#94622",1015,2295,"control","control",17.57124366,1280
"#40262",1016,2235,"treated","treated",12.82523175,1219
"#35755",1016,2298,"control","control",14.31216571,1282
"#53832",1019,2256,"control","treated",18.4485558,1237
"#60807",1026,2308,"control","control",14.52276032,1282
"#22574",1036,2305,"treated","control",16.80416913,1269
"#58777",1037,2255,"control","treated",17.79833885,1218
"#16434",1041,2243,"control","treated",11.97109589,1202
"#8182",1043,2324,"treated","control",16.22980566,1281
"#74005",1049,2333,"treated","control",12.93465759,1284
"#6036",1063,2270,"treated","control",13.88075778,1207
"#94856",1063,2357,"treated","treated",13.69557049,1294
"#82088",1064,2280,"treated","treated",10.22984103,1216
"#9751",1072,2289,"treated","treated",10.84765512,1217
"#86445",1077,2354,"treated","control",14.91419939,1277
"#66149",1081,2381,"treated","control",10.88183029,1300
"#72148",1086,2326,"control","treated",18.60608225,1240
"#85325",1087,2303,"control","treated",15.51799792,1216
"#94778",1088,2357,"treated","treated",17.37589582,1269
"#83183",1089,2373,"treated","treated",17.98461337,1284
"#29104",1094,2321,"control","control",19.45733053,1227
